Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
PICPI,0.1060005306122449,0.0076548148456892,0.006474499213094,1.0,0.8061,58
Split conformal prediction,0.8614622439041683,0.2604747614761029,0.0221273805146658,,1.0,58
Calibration-based interval,0.02,0.0068304362017482,0.005990817385585,0.62,0.2934,58
Fixed-width binning,0.02,0.007466561167356,0.0073935672381147,1.0,0.3073,58
Simultaneous confidence interval,0.4032338743762065,0.0602420793384745,0.0390251825956592,,1.0,59
PICPI,0.1374694693877551,0.0225961786509304,0.0240037394918683,1.0,0.7763,59
Split conformal prediction,0.8736398679129612,0.2695965015568919,0.0300904928405231,,1.0,59
Calibration-based interval,0.02,0.0264624118454555,0.0257941417131528,0.62,0.2362,59
Fixed-width binning,0.02,0.0271745259209058,0.0271388949977815,1.0,0.2452,59
Simultaneous confidence interval,0.4056249098850863,0.0701020048659543,0.0381841196557971,,1.0,60
PICPI,0.1019650612244898,0.0136774294509991,0.0127184538668855,1.0,0.6987,60
Split conformal prediction,0.8627060315596402,0.2633709941732408,0.0283470430240424,,1.0,60
Calibration-based interval,0.02,0.0124221268370764,0.0101044876954,0.46,0.2468,60
Fixed-width binning,0.02,0.0127158591225408,0.0125941743604702,1.0,0.2593,60
Simultaneous confidence interval,0.3950134749919342,0.0530720730639718,0.0263811209337379,,1.0,61
PICPI,0.1185198367346939,0.0143908556618269,0.014782312146671,1.0,0.8482,61
Split conformal prediction,0.854393621840793,0.2584771037287365,0.0217397605922279,,1.0,61
Calibration-based interval,0.0199999999999999,0.0176159038244401,0.0158701579381702,0.68,0.3022,61
Fixed-width binning,0.02,0.0141179384812373,0.0142867121095674,1.0,0.3141,61
Simultaneous confidence interval,0.4164447268421851,0.0729802165523577,0.0344011481096632,,1.0,62
PICPI,0.1141057551020408,0.0091339287920535,0.0078009658796931,1.0,0.7673,62
Split conformal prediction,0.8692929393084529,0.26737444869021,0.026104881037207,,1.0,62
Calibration-based interval,0.02,0.0077029559808783,0.006804035968464,0.68,0.263,62
Fixed-width binning,0.02,0.0080935848118987,0.0080429119981721,1.0,0.2637,62
Simultaneous confidence interval,0.3992049919481825,0.0613085564848706,0.028335014222476,,1.0,63
PICPI,0.1053212244897959,0.005624736940526,0.0052739785587641,1.0,0.8043,63
